ThreadsPerBlock,Blocks,AvgTimeMs
478,14,0.019902
479,14,0.019843
480,14,0.019855
481,13,0.020178
482,13,0.020052
483,13,0.020133
484,13,0.020241
485,13,0.020167
486,13,0.020156
487,13,0.020023
488,13,0.020040
489,13,0.020016
490,13,0.019950
491,13,0.019951
492,13,0.019928
493,13,0.019932
494,13,0.019945
495,13,0.019934
496,13,0.019989
497,13,0.020012
498,13,0.019965
499,13,0.020004
500,13,0.020032
501,13,0.020010
502,13,0.020048
503,13,0.020099
504,13,0.020119
505,13,0.020103
506,13,0.020094
507,13,0.020108
508,13,0.020109
509,13,0.020172
510,13,0.020184
511,13,0.020220
512,13,0.020197
513,13,0.020283
514,13,0.020282
515,13,0.020325
516,13,0.020332
517,13,0.020340
518,13,0.020319
519,13,0.020364
520,13,0.020417
521,12,0.020401
522,12,0.020382
523,12,0.020347
524,12,0.020325
525,12,0.020358
526,12,0.020440
527,12,0.020496
528,12,0.020424
529,12,0.020381
530,12,0.020467
531,12,0.020470
532,12,0.020517
533,12,0.020594
534,12,0.020634
535,12,0.020637
536,12,0.020643
537,12,0.020596
538,12,0.020533
539,12,0.020579
540,12,0.020566
541,12,0.020563
542,12,0.020623
543,12,0.020632
544,12,0.020483
545,12,0.020733
546,12,0.020745
547,12,0.020713
548,12,0.020715
549,12,0.020658
550,12,0.020694
551,12,0.020692
552,12,0.020696
553,12,0.020793
554,12,0.020771
555,12,0.020791
556,12,0.020646
557,12,0.020566
558,12,0.020550
559,12,0.020512
560,12,0.020435
561,12,0.020403
562,12,0.020280
563,12,0.020342
564,12,0.020246
565,12,0.020291
566,12,0.020363
567,12,0.020324
568,12,0.020343
569,11,0.020407
570,11,0.020480
571,11,0.020519
572,11,0.020547
573,11,0.020521
574,11,0.020424
575,11,0.020455
576,11,0.020467
577,11,0.020660
578,11,0.020665
579,11,0.020688
580,11,0.020639
581,11,0.020713
582,11,0.020791
583,11,0.020894
584,11,0.020736
585,11,0.020669
586,11,0.020735
587,11,0.020730
588,11,0.020708
589,11,0.020757
590,11,0.020853
591,11,0.020855
592,11,0.020881
593,11,0.020933
594,11,0.021129
595,11,0.021144
596,11,0.021130
597,11,0.021164
598,11,0.021321
599,11,0.021387
600,11,0.021351
601,11,0.021358
602,11,0.021503
603,11,0.021636
604,11,0.021720
605,11,0.021859
606,11,0.022043
607,11,0.022301
608,11,0.022373
609,11,0.022668
610,11,0.022845
611,11,0.023105
612,11,0.022984
613,11,0.023103
614,11,0.022970
615,11,0.023038
616,11,0.022990
617,11,0.023010
618,11,0.022880
619,11,0.023059
620,11,0.022729
621,11,0.022768
622,11,0.022613
623,11,0.022738
624,11,0.022679
625,10,0.022537
626,10,0.022439
627,10,0.022605
628,10,0.022417
629,10,0.022436
630,10,0.022362
631,10,0.022380
632,10,0.022331
633,10,0.022294
634,10,0.022187
635,10,0.022178
636,10,0.022128
637,10,0.022166
638,10,0.022111
639,10,0.022121
640,10,0.022057
641,10,0.022041
642,10,0.021966
643,10,0.021867
644,10,0.021767
645,10,0.021716
646,10,0.021675
647,10,0.021558
648,10,0.021570
649,10,0.021492
650,10,0.021443
651,10,0.021411
652,10,0.021348
653,10,0.021311
654,10,0.021341
655,10,0.021275
656,10,0.021216
657,10,0.021083
658,10,0.021036
659,10,0.020974
660,10,0.020959
661,10,0.020934
662,10,0.020982
663,10,0.020900
664,10,0.020929
665,10,0.020837
666,10,0.020803
667,10,0.020761
668,10,0.020791
669,10,0.020825
670,10,0.020837
671,10,0.020809
672,10,0.020828
673,10,0.020700
674,10,0.020762
675,10,0.020699
676,10,0.020707
677,10,0.020687
678,10,0.020751
679,10,0.020715
680,10,0.020790
681,10,0.020671
682,10,0.020679
683,10,0.020685
684,10,0.020659
685,10,0.020677
686,10,0.020698
687,10,0.020709
688,10,0.020732
689,10,0.020711
690,10,0.020697
691,10,0.020618
