ThreadsPerBlock,Blocks,AvgTimeMs
375,17,0.022117
376,17,0.022134
377,17,0.022270
378,17,0.022293
379,17,0.022518
380,17,0.022738
381,17,0.022947
382,17,0.022946
383,17,0.022813
384,17,0.022828
385,17,0.023417
386,17,0.023188
387,17,0.023446
388,17,0.023227
389,17,0.023265
390,17,0.023318
391,16,0.023238
392,16,0.023262
393,16,0.023341
394,16,0.023470
395,16,0.023561
396,16,0.023881
397,16,0.024098
398,16,0.024038
399,16,0.023970
400,16,0.023955
401,16,0.024071
402,16,0.024122
403,16,0.024128
404,16,0.024271
405,16,0.024387
406,16,0.024139
407,16,0.024157
408,16,0.023892
409,16,0.023756
410,16,0.023696
411,16,0.023792
412,16,0.023966
413,16,0.024094
414,16,0.023896
415,16,0.023664
416,16,0.023734
417,15,0.024389
418,15,0.024193
419,15,0.024022
420,15,0.024323
421,15,0.024049
422,15,0.024015
423,15,0.023679
424,15,0.023319
425,15,0.023111
426,15,0.022803
427,15,0.023188
428,15,0.022107
429,15,0.021726
430,15,0.021675
431,15,0.021807
432,15,0.021623
433,15,0.021579
434,15,0.021831
435,15,0.022053
436,15,0.022165
437,15,0.022101
438,15,0.021997
439,15,0.021802
440,15,0.021614
441,15,0.021359
442,15,0.021087
443,15,0.020826
444,15,0.020841
445,15,0.020720
446,15,0.020747
447,14,0.020686
448,14,0.020709
449,14,0.020983
450,14,0.020937
451,14,0.020845
452,14,0.020749
453,14,0.020697
454,14,0.020636
455,14,0.020573
456,14,0.020491
457,14,0.020482
458,14,0.020446
459,14,0.020404
460,14,0.020339
461,14,0.020315
462,14,0.020256
463,14,0.020259
464,14,0.020239
465,14,0.020207
466,14,0.020116
467,14,0.020238
468,14,0.020183
469,14,0.020151
470,14,0.020128
471,14,0.020072
472,14,0.020082
473,14,0.020088
474,14,0.019970
475,14,0.019874
476,14,0.019944
477,14,0.019870
478,14,0.019975
479,14,0.019857
480,14,0.019812
481,13,0.020113
482,13,0.020003
483,13,0.020070
484,13,0.020169
485,13,0.020089
486,13,0.020136
487,13,0.020009
488,13,0.019984
489,13,0.019976
490,13,0.019912
491,13,0.019886
492,13,0.019884
493,13,0.019900
494,13,0.019936
495,13,0.019919
496,13,0.019939
497,13,0.019963
498,13,0.019915
499,13,0.019963
500,13,0.020006
501,13,0.019969
502,13,0.020038
503,13,0.020039
504,13,0.020033
505,13,0.020037
506,13,0.020051
507,13,0.020059
508,13,0.020060
509,13,0.020103
510,13,0.020127
511,13,0.020205
512,13,0.020176
513,13,0.020276
514,13,0.020250
515,13,0.020292
516,13,0.020290
517,13,0.020302
518,13,0.020264
519,13,0.020310
520,13,0.020384
521,12,0.020338
522,12,0.020339
523,12,0.020317
524,12,0.020313
525,12,0.020350
526,12,0.020388
527,12,0.020418
528,12,0.020359
529,12,0.020336
530,12,0.020420
531,12,0.020418
532,12,0.020470
533,12,0.020515
534,12,0.020558
535,12,0.020579
536,12,0.020556
537,12,0.020589
538,12,0.020579
539,12,0.020558
540,12,0.020489
541,12,0.020538
542,12,0.020593
543,12,0.020598
544,12,0.020465
545,12,0.020691
546,12,0.020718
547,12,0.020662
548,12,0.020654
549,12,0.020609
550,12,0.020648
551,12,0.020691
552,12,0.020643
553,12,0.020773
554,12,0.020695
555,12,0.020725
556,12,0.020614
557,12,0.020558
558,12,0.020547
559,12,0.020557
560,12,0.020455
561,12,0.020380
562,12,0.020268
563,12,0.020330
564,12,0.020269
565,12,0.020296
566,12,0.020322
567,12,0.020357
568,12,0.020449
569,11,0.020432
570,11,0.020480
571,11,0.020470
572,11,0.020506
573,11,0.020479
574,11,0.020367
575,11,0.020415
576,11,0.020464
577,11,0.020629
578,11,0.020603
579,11,0.020659
580,11,0.020641
581,11,0.020778
582,11,0.020804
583,11,0.020818
584,11,0.020720
585,11,0.020660
586,11,0.020692
587,11,0.020672
588,11,0.020681
589,11,0.020729
590,11,0.020843
591,11,0.020848
592,11,0.020864
593,11,0.020894
594,11,0.020948
595,11,0.021006
596,11,0.021048
597,11,0.021189
598,11,0.021295
599,11,0.021369
600,11,0.021265
601,11,0.021430
602,11,0.021498
603,11,0.021753
604,11,0.021786
605,11,0.021885
606,11,0.022069
607,11,0.022212
608,11,0.022266
609,11,0.022622
610,11,0.022822
611,11,0.023052
612,11,0.022894
613,11,0.023039
614,11,0.022942
615,11,0.023026
616,11,0.022912
617,11,0.022989
618,11,0.022893
619,11,0.022949
620,11,0.022741
621,11,0.022669
622,11,0.022656
623,11,0.022722
624,11,0.022670
625,10,0.022556
626,10,0.022444
627,10,0.022587
628,10,0.022400
629,10,0.022433
630,10,0.022347
631,10,0.022287
632,10,0.022273
633,10,0.022245
634,10,0.022124
635,10,0.022146
636,10,0.022028
637,10,0.022100
638,10,0.022074
639,10,0.022140
640,10,0.022034
641,10,0.022007
642,10,0.021937
643,10,0.021818
644,10,0.021678
645,10,0.021673
646,10,0.021625
647,10,0.021518
648,10,0.021540
649,10,0.021478
650,10,0.021424
651,10,0.021379
652,10,0.021348
653,10,0.021300
654,10,0.021271
655,10,0.021206
656,10,0.021142
657,10,0.021064
658,10,0.021022
659,10,0.020979
660,10,0.020972
661,10,0.020943
662,10,0.020971
663,10,0.020926
664,10,0.020928
665,10,0.020801
666,10,0.020780
667,10,0.020697
668,10,0.020770
669,10,0.020788
670,10,0.020818
671,10,0.020807
672,10,0.020789
673,10,0.020654
674,10,0.020698
675,10,0.020667
676,10,0.020668
677,10,0.020679
678,10,0.020754
679,10,0.020723
680,10,0.020755
681,10,0.020685
682,10,0.020668
683,10,0.020617
684,10,0.020623
685,10,0.020619
